industry,occupation,yrs_qual,sex,highest_qual,area_of_study,influencing,negotiating,sector,workforce_change,no_subordinates,choose_hours,choose_method,job_quals,qual_needed,experience_needed,keeping_current,satisfaction,advising,instructing,problem_solving_quick,problem_solving_long,labour,manual_skill,computer,group_meetings,computer_level,monthly_salary
K,1,12,2,7,4,5,5,1,2,1,5,5,7,1,6,1,5,5,5,5,4,1,1,1,4,2,8775.0
P,2,16,2,12,8,5,5,1,3,0,1,3,7,2,1,1,2,4,5,4,1,2,4,1,1,1,1050.0
Q,3,13,2,9,8,1,1,1,3,0,1,2,9,1,3,1,2,4,1,5,3,5,5,2,1,0,2643.3333333
O,5,9,2,3,0,2,3,2,3,0,3,2,3,1,1,4,2,5,3,5,3,2,2,2,1,0,1248.0
Q,3,16,2,12,5,5,5,2,3,0,3,3,7,2,4,4,2,4,1,5,4,5,5,1,1,2,2197.0
Q,2,12,2,7,9,4,4,3,1,4,4,4,9,1,5,5,2,4,4,4,3,4,4,1,2,2,3600.0
P,2,14,2,11,3,4,5,1,1,1,3,3,12,2,6,2,1,5,4,5,4,5,5,1,2,2,2937.5
I,9,12,1,7,1,1,1,1,3,0,3,1,7,1,1,2,3,2,3,2,1,5,5,2,1,0,468.0
Q,3,12,2,7,4,1,1,3,2,2,1,4,12,2,6,1,2,5,3,5,3,1,5,1,5,2,4750.0
J,2,12,1,7,6,3,3,2,3,0,3,3,9,1,5,3,2,4,2,5,3,1,1,1,5,3,8333.3333333
P,1,16,2,12,4,2,3,2,2,1,3,4,12,2,6,4,3,4,5,5,3,2,5,1,3,2,5833.3333333
Q,3,14,2,11,4,1,1,1,3,0,3,1,7,1,3,3,3,1,2,5,1,1,5,1,1,2,2815.0
L,3,12,2,7,5,5,5,1,3,0,1,3,7,1,5,3,2,5,5,4,2,2,3,1,2,2,3266.6666667
Q,3,18,2,13,8,5,5,3,1,0,3,5,12,1,6,5,1,5,5,5,5,4,5,1,4,2,6120.0
M,2,18,2,13,6,5,3,1,2,0,5,3,12,1,6,5,2,5,4,5,5,1,1,1,1,2,5833.3333333
M,2,16,2,12,5,1,2,1,3,0,3,2,12,2,1,2,4,2,1,3,2,2,5,1,2,1,2811.4666667
C,4,9,2,3,0,1,1,1,2,0,3,5,1,1,1,5,2,4,2,5,5,5,5,1,1,1,2124.3333333
G,5,14,2,11,7,5,5,1,3,0,5,4,3,1,2,2,3,1,2,2,1,5,5,1,1,1,1289.1666667
K,4,12,1,7,6,1,1,1,3,0,3,2,7,1,3,1,3,1,2,5,3,5,5,1,2,2,3175.0
P,3,12,2,7,4,2,1,2,1,0,3,3,7,2,6,5,2,3,2,5,3,1,5,1,1,2,4500.0
I,9,9,2,3,0,5,3,1,3,0,3,3,3,1,2,3,2,2,4,4,2,5,5,1,1,1,370.0
P,2,18,2,13,2,5,5,2,3,0,2,4,12,1,4,5,2,5,5,5,4,2,3,1,1,2,4833.3333333
G,2,16,1,12,4,5,5,1,2,0,5,5,12,1,6,5,2,5,2,5,3,1,5,1,5,2,17083.333333
R,1,14,1,11,7,5,5,1,3,2,2,5,9,2,1,3,2,5,5,5,4,5,5,1,2,2,3293.3333333
C,9,12,2,7,6,1,5,1,1,0,2,2,7,2,5,3,3,5,3,5,3,5,5,1,1,1,4500.0
C,1,16,2,12,4,5,5,1,1,2,3,5,13,1,6,5,1,5,5,4,5,3,5,1,5,2,8333.3333333
P,2,18,2,13,8,3,4,2,3,0,4,4,13,1,6,3,1,4,5,5,4,2,5,1,2,2,7083.3333333
J,7,9,2,3,0,5,5,1,2,0,3,3,7,1,1,5,2,5,4,5,4,5,5,1,4,1,1563.1666667
G,2,13,2,9,2,3,3,2,1,4,4,4,11,2,5,3,1,4,5,5,4,1,5,1,2,2,3553.3333333
H,9,12,1,7,1,5,5,1,2,0,3,1,7,3,4,3,3,5,5,5,4,5,5,1,1,2,3481.6666667
I,4,12,1,7,8,3,5,1,3,1,2,4,7,2,1,3,2,5,2,3,2,4,5,1,1,1,2370.8333333
P,4,14,2,11,1,1,1,3,3,0,4,5,11,1,6,2,2,1,5,5,3,3,5,1,1,2,3447.0
I,5,12,1,7,8,1,1,1,3,1,3,3,7,1,5,3,2,2,5,5,2,5,5,2,1,0,3206.6666667
J,2,12,1,7,4,5,4,1,1,1,5,5,12,2,5,5,2,5,5,5,4,1,5,1,5,3,5854.1666667
I,5,12,1,7,8,4,3,1,3,0,2,4,7,2,3,4,2,5,4,5,3,5,5,2,1,0,2888.1666667
G,1,14,2,11,3,4,5,1,1,3,4,5,12,1,6,4,2,5,5,5,4,1,5,1,4,2,6833.3333333
M,3,13,2,9,1,3,1,1,3,0,1,5,7,1,6,1,1,2,1,1,1,4,5,1,1,2,5000.0
G,9,13,1,9,5,1,4,1,3,0,3,4,7,2,2,1,3,2,1,4,1,5,5,1,1,1,1863.3333333
P,2,18,2,13,2,5,1,2,3,0,1,3,12,1,3,2,2,4,5,5,4,1,5,1,1,1,3933.3333333
Q,5,16,2,12,4,5,1,2,1,0,3,3,7,3,5,2,4,4,3,4,2,5,5,2,1,0,1733.3333333
H,8,12,1,7,6,4,1,1,1,0,3,4,7,1,5,1,2,5,1,4,3,5,5,2,1,0,3796.6666667
R,1,16,2,12,5,1,1,2,3,1,5,5,12,2,6,2,3,2,2,3,3,1,5,1,2,2,4916.6666667
G,8,12,1,7,6,2,1,2,3,0,1,1,7,1,4,5,3,5,5,3,2,5,5,2,1,0,2621.75
O,9,12,2,7,1,1,1,2,3,0,3,1,7,1,3,1,2,1,1,3,3,5,5,2,1,0,1962.1333333
C,3,12,1,7,4,5,5,1,3,4,2,5,7,1,1,2,2,5,5,5,1,5,5,1,4,1,6491.6666667
G,9,14,1,11,4,1,1,1,3,0,3,3,7,2,3,2,4,5,2,5,2,5,5,1,1,1,3466.6666667
C,9,12,2,7,1,4,1,1,2,0,4,4,7,1,2,5,5,1,5,1,1,5,5,2,1,0,1841.6666667
Q,2,16,2,12,5,1,4,2,2,0,1,1,12,2,6,3,4,5,1,1,1,1,5,1,1,2,9583.3333333
C,1,12,2,7,1,3,2,1,1,1,2,4,7,1,4,5,2,5,5,1,2,3,5,1,1,2,1713.0
I,5,9,2,3,0,5,1,1,2,2,1,2,3,2,2,1,1,5,5,4,1,5,5,2,1,0,1515.0
I,5,12,2,7,4,5,5,1,3,0,5,5,11,1,3,3,2,5,2,5,5,5,5,2,1,0,1300.0
K,3,18,2,13,4,2,5,1,3,0,2,4,12,2,5,2,2,5,3,5,4,1,5,1,2,3,3775.0
I,9,9,1,3,0,4,1,1,3,1,2,3,3,1,3,2,2,4,4,4,2,3,4,1,1,1,784.16666667
I,9,9,2,3,0,5,5,1,3,0,3,2,3,1,1,5,2,5,4,5,1,5,5,1,1,1,758.33333333
C,4,16,2,12,5,5,5,1,1,0,5,5,12,1,5,4,2,5,2,5,4,1,5,1,1,2,3541.6666667
I,5,12,1,7,6,5,5,1,1,1,1,4,7,1,1,2,2,5,5,1,1,5,5,2,1,0,2272.6666667
G,3,16,1,12,4,5,5,1,3,0,4,4,12,2,6,4,2,3,3,3,1,1,2,1,4,2,3691.6666667
G,2,16,1,12,3,5,4,2,3,0,5,3,12,1,6,5,1,5,4,5,4,3,5,1,3,2,10000.0
Q,2,19,1,13,8,5,1,1,3,0,1,3,13,1,1,3,2,5,1,5,1,1,2,1,1,1,10416.666667
G,5,12,2,7,1,2,2,1,3,0,3,3,3,1,3,4,4,3,3,3,2,5,4,1,1,1,1733.3333333
I,3,12,1,7,8,1,3,1,1,1,3,5,7,1,5,3,3,2,2,4,2,5,5,1,1,1,1404.0
H,8,12,1,7,6,4,1,1,2,0,1,3,7,2,1,1,4,5,1,5,2,5,5,1,1,1,4333.3333333
S,2,12,1,7,4,5,4,3,1,4,4,5,7,1,1,4,1,5,5,5,4,2,2,1,3,2,4033.3333333
G,5,12,2,7,1,5,2,1,3,0,4,4,7,2,1,4,1,4,4,4,3,5,5,1,1,1,1733.3333333
P,5,12,1,7,1,1,1,2,1,0,2,4,7,1,1,1,2,3,5,5,3,1,1,1,1,3,117.0
Q,2,16,2,12,8,1,1,3,3,0,1,2,11,1,1,3,2,5,3,5,2,5,5,1,1,2,7166.6666667
E,2,14,1,11,5,1,1,1,3,0,5,4,11,1,3,4,1,3,2,5,5,1,2,1,2,3,1060.8333333
Q,2,19,2,13,8,4,2,3,3,0,3,4,13,1,6,5,2,5,5,5,4,4,4,1,3,2,22500.0
P,2,18,1,13,5,1,2,1,3,3,2,1,13,3,6,5,2,4,5,3,2,5,5,1,2,1,6666.6666667
O,3,18,1,13,4,1,1,2,2,0,4,5,7,1,6,3,2,4,2,5,4,1,5,1,2,2,1083.3333333
K,3,12,2,7,8,5,5,2,3,0,1,2,12,1,3,5,2,5,1,5,5,1,5,1,1,2,2946.6666667
P,2,12,2,7,8,5,5,1,2,1,2,4,7,2,1,3,2,5,5,5,3,5,5,1,1,1,2426.6666667
Q,2,21,2,14,8,1,1,3,3,2,1,3,14,1,4,5,1,5,2,5,4,2,5,1,2,1,9125.0
R,2,12,2,7,2,4,4,1,3,3,1,4,7,2,5,5,2,5,3,4,4,5,1,1,1,2,500.0
Q,4,12,2,7,4,1,1,1,3,0,2,2,9,2,3,1,2,2,1,2,1,1,1,2,1,0,1698.6666667
S,3,12,1,7,4,5,5,1,1,0,2,4,9,2,5,5,2,5,1,5,4,1,5,1,5,1,8166.6666667
P,2,21,1,14,5,4,1,1,3,0,3,4,14,1,6,4,1,4,5,3,2,1,3,1,1,3,6250.0
Q,3,12,2,7,8,1,1,1,3,3,1,4,7,1,6,2,2,4,4,4,3,1,5,1,1,2,3186.6666667
P,2,16,2,12,2,5,1,2,3,0,1,4,12,1,1,2,2,5,5,4,2,5,5,1,1,1,1430.0
J,2,16,2,12,3,1,1,1,1,0,1,4,12,2,3,4,2,3,1,5,4,4,4,1,4,3,5500.0
C,2,16,1,12,6,4,4,1,1,0,4,4,12,1,4,2,4,2,2,2,4,1,1,1,4,2,5250.0
M,2,16,2,12,4,3,1,1,3,0,2,3,12,1,3,4,1,3,1,5,4,1,5,1,4,2,3187.5
G,5,16,2,12,2,1,4,2,1,0,3,3,7,1,3,5,2,5,1,5,3,2,5,1,1,1,1132.9166667
J,3,16,1,12,9,5,5,1,3,0,4,3,9,3,4,4,2,5,4,4,4,5,5,1,4,2,10833.333333
D,9,16,2,12,3,1,1,2,3,0,1,5,7,1,1,2,2,5,4,5,1,5,5,2,1,0,5881.2
O,3,14,2,11,4,1,1,2,2,0,4,3,9,2,3,5,3,1,2,3,2,1,5,1,1,2,2556.6666667
F,1,16,1,12,5,4,5,1,1,3,5,5,12,1,6,5,2,5,4,5,4,3,5,1,2,2,12083.333333
P,2,18,2,13,2,5,5,2,3,0,1,3,13,1,5,5,2,4,5,5,3,2,5,1,2,1,7083.3333333
C,8,12,1,7,1,1,1,2,1,0,1,4,7,1,1,5,1,5,5,5,5,5,5,1,1,2,3333.3333333
F,7,12,1,7,6,5,1,1,3,1,1,5,7,2,6,5,2,5,5,5,5,5,5,2,1,0,3033.3333333
C,3,16,1,12,4,5,5,2,3,0,4,5,12,1,5,3,1,5,4,5,4,2,2,1,4,2,11250.0
K,1,14,2,11,4,3,3,2,3,4,3,2,12,2,6,5,2,4,5,5,4,1,5,1,5,2,6333.3333333
Q,2,18,2,13,8,1,1,1,1,0,1,3,12,1,3,5,1,1,4,5,5,5,5,1,4,1,7000.0
S,2,19,1,13,9,4,4,3,3,1,4,5,13,1,6,3,1,4,4,5,4,1,5,1,3,2,5433.3333333
Q,5,13,2,9,3,1,1,2,3,0,5,5,7,1,5,5,1,1,1,4,2,5,5,1,1,1,1733.3333333
P,5,12,2,7,2,5,1,2,1,0,1,5,7,1,2,3,1,5,5,4,2,5,5,1,1,2,2214.0333333
G,5,12,1,7,1,4,1,1,2,0,3,4,3,1,1,5,2,4,2,5,4,5,5,1,1,1,1560.0
I,1,16,1,12,9,5,3,2,3,5,2,3,11,1,5,2,2,5,5,5,3,5,4,1,2,2,4208.3333333
F,4,12,2,7,8,5,5,1,1,0,3,5,7,1,6,5,4,5,2,5,4,1,5,1,1,2,3543.0
Q,5,12,2,7,5,5,5,3,3,0,5,5,7,1,1,5,2,2,4,5,4,1,5,1,1,2,2953.6666667
J,2,16,2,12,5,3,1,1,3,0,1,3,12,2,6,2,2,4,5,4,4,1,5,1,5,2,4000.0
Q,3,12,1,7,3,4,1,1,3,0,3,3,9,3,6,3,2,5,5,5,4,5,5,2,1,0,2080.0
I,9,12,1,7,1,4,1,1,3,0,2,3,2,2,1,1,4,5,1,5,1,1,5,1,1,1,415.0
G,1,12,1,7,8,1,5,1,3,1,1,5,7,2,6,5,1,5,5,5,5,4,5,1,1,1,3041.6666667
F,7,6,1,2,0,5,4,1,2,0,2,4,1,1,1,5,2,5,4,5,4,5,5,1,1,1,2625.0
F,1,16,1,12,6,4,3,1,1,2,3,4,12,1,5,2,2,3,4,5,5,2,2,1,1,2,5583.3333333
K,3,12,1,7,4,5,5,1,1,0,2,1,7,1,5,3,1,5,4,5,2,1,5,1,3,1,3170.38
P,2,18,2,13,4,2,1,2,1,0,1,3,13,1,1,4,2,3,5,2,4,1,4,1,1,2,1421.3333333
G,3,16,1,12,3,1,1,1,1,0,3,1,12,2,5,5,2,5,2,5,3,3,5,1,3,2,1500.0
G,4,14,1,11,5,5,1,1,1,3,3,2,11,2,1,5,2,5,4,5,5,1,5,1,3,2,5583.3333333
N,4,14,2,11,4,5,5,2,3,0,3,2,7,2,1,3,2,5,5,5,4,1,5,1,1,2,645.66666667
C,8,12,1,7,6,1,1,1,3,0,3,5,7,3,3,5,1,5,4,3,2,1,5,1,1,2,8000.0
Q,2,16,2,12,8,5,3,3,3,3,2,3,12,1,6,5,2,5,5,5,4,5,5,1,4,2,10000.0
F,7,9,1,3,0,5,2,1,2,0,1,5,3,2,5,2,3,4,4,4,4,5,5,2,1,0,1560.0
Q,9,12,2,7,1,1,1,1,3,0,1,1,7,1,5,3,3,1,1,1,1,4,5,1,1,1,530.83333333
Q,3,12,2,7,8,5,5,1,3,0,3,3,9,1,5,5,2,3,2,4,3,1,5,1,5,3,3813.3333333
Q,1,18,2,13,2,4,4,3,1,5,4,5,12,2,4,3,2,1,4,5,4,5,5,1,2,2,3272.6666667
G,5,16,2,12,4,5,1,1,3,2,3,4,7,1,4,3,4,5,5,4,1,5,5,1,1,2,1880.6666667
P,2,14,2,11,2,5,5,1,2,1,2,4,7,3,5,4,3,2,5,5,4,5,5,1,1,1,957.66666667
G,3,16,1,12,9,5,5,1,1,0,1,5,9,2,6,4,2,5,4,5,3,2,2,1,1,2,4333.3333333
I,9,12,1,7,1,4,1,1,3,0,3,4,3,1,2,5,2,3,2,5,3,5,5,2,1,0,1300.0
Q,3,14,2,11,8,1,1,1,1,0,1,2,9,1,3,4,2,1,4,5,1,1,5,1,1,2,3008.3333333
M,3,16,2,12,5,2,1,2,3,1,4,3,12,1,5,2,2,3,3,2,2,3,4,1,1,2,6250.0
C,7,13,1,9,9,1,1,1,3,0,4,4,7,1,1,2,2,4,2,4,3,5,5,1,1,1,3958.3333333
G,7,12,1,7,1,4,1,1,3,0,2,3,7,2,2,1,2,5,2,4,2,5,5,1,1,1,2313.0
S,5,16,2,12,4,5,3,3,3,0,1,5,7,1,4,1,3,1,5,5,2,5,5,2,1,0,156.0
G,5,12,2,7,5,5,4,1,3,0,1,1,7,1,3,5,1,5,1,4,2,5,5,1,1,1,2110.0
G,5,12,2,7,1,5,1,1,3,0,1,2,7,2,1,5,2,4,1,5,2,5,5,1,1,1,2916.6666667
P,5,14,2,11,2,5,5,2,3,0,1,3,7,1,3,5,3,5,5,5,4,5,5,1,1,2,1341.99
C,8,12,1,7,1,2,1,1,3,1,4,4,7,2,3,5,1,3,4,5,4,5,5,1,2,2,1928.6666667
D,9,12,2,7,1,1,2,1,1,0,1,5,7,2,1,5,2,3,2,4,1,5,5,2,1,0,1300.0
N,5,12,1,7,1,1,1,1,3,0,1,3,7,1,1,3,2,2,1,5,2,1,5,1,1,1,2080.0
Q,3,9,2,3,0,1,1,1,1,0,2,1,3,2,3,1,1,3,2,5,5,5,5,1,1,1,1534.0
C,3,16,1,12,6,4,4,1,1,0,3,4,12,2,6,3,1,5,4,5,4,3,3,1,4,2,7850.0
L,3,18,2,13,4,4,3,3,1,1,3,4,12,1,3,3,4,5,5,5,4,4,5,1,1,2,5833.3333333
H,9,12,1,7,6,5,5,1,3,1,1,4,7,1,1,5,2,5,5,5,5,5,5,1,1,1,3550.0
H,1,12,1,7,4,5,1,1,3,3,3,4,7,2,1,3,3,1,5,5,5,5,5,1,5,2,2639.0
T,5,13,2,9,8,1,1,1,3,0,1,3,3,2,3,3,3,1,1,4,5,5,3,2,1,0,104.0
G,5,12,2,7,1,5,1,1,3,0,2,3,7,2,1,5,2,5,4,5,1,5,5,1,1,2,682.5
P,2,16,2,12,2,5,3,2,1,0,1,3,12,1,1,4,2,5,5,5,3,1,5,1,2,2,4166.6666667
I,1,14,2,11,8,1,2,2,3,1,1,3,7,1,3,4,2,5,5,5,2,5,5,1,2,2,2600.0
A,5,12,2,7,4,4,4,1,3,0,3,4,7,2,3,5,2,4,4,4,4,5,5,2,1,0,1408.3333333
J,5,12,1,7,1,2,1,1,2,0,1,1,7,1,1,1,2,1,1,2,1,5,1,1,1,1,1525.3333333
P,2,16,2,12,5,1,1,3,3,0,1,4,12,1,6,1,3,1,1,5,5,1,5,1,1,3,6500.0
D,3,12,1,7,6,1,5,1,1,1,4,2,7,1,6,2,1,4,4,4,4,5,5,1,3,1,12083.333333
Q,5,12,2,7,4,1,1,3,3,0,3,3,7,1,4,2,2,2,3,2,1,3,3,1,1,1,1191.6666667
G,2,16,2,12,8,5,2,1,1,0,5,5,12,1,3,5,2,5,4,5,4,3,4,1,3,2,4198.3333333
R,3,16,1,7,9,5,5,1,3,0,3,4,7,1,3,2,2,4,1,4,3,5,5,1,1,1,953.33333333
O,1,18,2,13,8,4,3,2,1,4,3,5,12,2,6,5,1,4,5,1,4,1,1,1,3,2,7500.0
Q,3,14,2,11,5,3,4,1,1,0,3,5,7,1,1,4,1,3,1,4,3,5,5,1,1,1,3033.3333333
A,9,9,1,3,0,1,1,1,3,0,1,1,1,1,1,2,4,1,1,2,2,5,5,2,1,0,2912.0
P,5,12,2,7,4,5,2,1,3,0,1,2,7,2,5,2,2,5,4,5,1,5,5,2,1,0,1577.3333333
F,7,12,1,7,8,1,1,1,3,0,2,3,7,2,3,5,2,4,1,4,2,5,5,2,1,0,2600.0
H,9,13,2,9,8,5,5,3,2,0,1,2,7,1,1,4,2,5,5,5,5,5,5,1,1,1,2730.0
Q,3,12,1,7,8,1,1,1,3,0,3,4,7,1,1,2,2,5,3,4,2,1,1,1,1,1,3583.3333333
G,3,14,2,11,8,5,5,1,1,0,4,4,11,1,3,5,2,5,5,5,3,1,5,1,1,2,7500.0
C,2,16,1,12,6,4,4,2,1,0,5,5,12,1,6,4,2,4,4,5,4,2,2,1,4,2,12500.0
G,5,13,1,9,5,1,1,2,3,0,3,3,7,1,5,5,2,5,4,5,2,5,5,1,5,1,3215.8333333
K,4,16,2,12,4,4,2,1,3,0,3,4,12,1,3,2,2,4,4,5,3,1,5,1,5,2,7083.3333333
M,3,18,2,13,2,5,5,3,3,0,3,4,13,1,6,4,1,5,2,4,3,2,5,1,5,2,7500.0
G,5,12,2,7,4,4,1,1,3,0,5,3,3,3,1,4,2,3,2,4,1,2,5,2,1,0,604.0
P,2,16,1,12,3,5,5,2,2,0,2,3,9,1,1,5,2,5,5,5,5,5,5,1,2,2,3250.0
P,2,18,2,13,2,2,1,1,2,0,4,2,12,1,5,2,2,5,4,5,2,1,5,1,3,2,3750.0
K,2,16,1,12,5,5,5,3,1,0,4,3,12,1,6,5,2,5,4,2,4,1,1,1,5,2,8333.3333333
H,4,12,1,7,8,5,5,1,1,0,5,5,7,1,3,5,1,5,3,5,1,1,5,1,1,1,1775.0
H,2,18,1,13,6,4,4,1,2,3,5,3,13,3,5,3,1,4,4,3,4,4,4,2,1,0,3900.0
Q,2,21,2,14,8,3,4,1,3,1,3,4,13,1,3,3,2,3,3,4,2,1,1,1,1,2,5833.3333333
J,2,12,1,7,4,3,1,1,1,0,4,5,12,1,5,5,1,3,2,5,3,1,5,1,4,2,5625.0
O,2,19,2,13,4,5,5,2,2,1,2,3,13,1,5,2,1,5,5,3,4,2,1,1,5,2,4416.6666667
P,2,18,1,13,3,5,2,1,1,2,4,4,13,1,5,1,1,5,5,4,4,1,5,1,2,1,4166.6666667
G,5,9,2,3,0,1,1,1,3,0,2,5,3,1,3,2,1,1,5,4,1,5,5,2,1,0,713.33333333
Q,2,16,2,12,5,5,4,3,2,0,3,4,12,2,5,5,1,3,4,5,4,5,5,1,4,2,3293.3333333
O,1,16,2,12,4,5,5,2,3,2,2,3,13,2,6,5,5,5,4,5,5,1,5,1,4,2,19583.333333
Q,3,14,2,11,8,1,1,1,1,0,4,2,11,2,1,1,3,3,1,5,4,1,5,1,1,1,2191.6666667
F,7,12,2,7,1,2,1,1,3,0,4,4,7,2,1,1,3,2,2,4,1,5,5,1,1,1,1369.1666667
H,1,12,2,7,4,5,5,1,3,4,4,4,12,2,1,5,1,5,5,5,5,5,5,1,5,3,4166.6666667
G,7,12,1,7,5,3,2,2,3,1,2,2,7,1,2,2,3,5,2,4,1,5,5,1,1,2,2000.0
S,3,9,1,3,0,1,1,3,3,0,3,4,3,1,1,1,1,3,4,3,1,1,1,2,1,0,162.5
C,8,16,1,12,5,1,1,1,1,2,1,3,3,1,1,5,1,1,1,4,2,5,5,2,1,0,2383.3333333
S,5,13,2,9,3,5,2,1,3,0,3,4,9,1,4,2,2,3,3,4,2,5,5,1,2,1,2500.0
H,8,12,1,7,6,1,1,1,3,0,1,1,2,1,6,2,2,2,2,1,1,1,5,1,1,1,3791.6666667
I,9,12,2,7,2,1,1,2,3,0,1,1,2,3,1,5,2,3,2,1,1,5,5,1,1,1,1213.3333333
P,2,18,2,13,2,5,1,2,1,0,3,4,13,1,5,5,2,5,5,5,2,1,5,1,1,2,5460.0
C,4,12,2,7,8,4,5,1,3,0,5,2,11,2,1,2,5,1,1,5,5,4,5,1,2,1,3216.0
I,5,16,2,12,4,2,2,1,3,0,2,1,7,1,4,2,1,5,2,4,2,5,5,1,1,1,4500.0
O,2,13,2,9,5,5,5,1,3,0,1,3,9,1,5,1,3,4,4,5,4,1,5,1,1,2,6666.6666667
Q,1,16,2,12,2,4,3,2,2,3,3,3,13,2,6,5,1,5,5,5,4,1,5,1,2,2,4083.3333333
G,7,12,1,7,6,2,1,1,2,1,3,4,7,1,3,2,1,3,4,5,3,5,5,1,1,1,3673.3333333
S,4,16,1,12,3,2,1,3,3,0,3,5,11,2,5,2,1,3,1,5,3,3,5,1,2,2,1950.0
L,3,18,1,13,2,4,4,1,1,0,5,5,7,1,1,3,3,2,2,4,4,1,1,1,2,2,9333.3333333
G,2,19,1,13,8,4,4,1,3,2,3,3,13,1,5,5,1,4,4,5,5,2,5,1,3,3,11250.0
J,2,16,1,12,5,5,5,1,3,0,4,4,13,2,5,2,3,5,2,2,5,1,5,1,5,3,953.33333333
P,2,16,2,12,2,5,5,2,1,0,3,3,12,1,6,5,2,5,2,5,4,2,2,1,2,2,3916.6666667
G,5,16,1,12,1,5,4,1,2,4,2,3,11,2,1,5,4,4,5,5,4,5,5,1,2,2,4250.0
F,4,12,2,7,4,4,4,1,1,1,3,3,7,3,6,3,2,3,4,5,4,1,5,1,1,2,8341.6666667
R,2,18,2,13,2,5,4,2,3,0,2,3,13,1,4,3,3,5,5,5,4,4,5,1,1,2,4783.3333333
C,7,9,2,3,0,1,2,2,2,2,4,2,7,1,5,5,2,3,5,5,2,5,5,1,1,1,1695.0
O,2,16,2,12,5,1,1,2,3,0,3,2,12,2,5,2,2,4,2,5,3,1,1,1,5,2,8500.0
O,2,19,1,13,4,1,5,2,1,0,4,4,13,1,1,2,5,5,5,5,4,1,3,1,1,1,6083.3333333
Q,2,16,2,12,8,5,5,2,2,0,3,4,12,1,5,4,1,4,5,5,4,4,5,1,2,2,4583.3333333
C,9,12,1,7,9,2,3,2,1,0,2,3,7,1,1,2,2,4,4,4,1,5,5,1,1,2,2805.8333333
M,2,18,1,13,6,1,1,2,3,0,1,1,13,1,1,4,2,1,5,5,5,1,1,1,1,2,1700.0
G,1,16,1,12,4,5,1,1,3,3,2,3,7,1,1,2,4,4,3,5,2,5,5,1,1,1,2652.0
O,2,16,1,12,4,5,3,2,3,4,4,4,12,1,6,2,2,4,4,3,3,1,5,1,2,2,4391.6666667
O,1,16,2,12,8,5,5,2,2,3,1,3,12,1,6,4,1,5,3,2,4,2,5,1,2,1,8583.3333333
K,3,16,1,12,2,5,5,1,1,1,3,3,12,2,1,3,2,5,4,5,5,2,5,1,4,2,5000.0
Q,2,14,2,11,8,1,1,2,3,0,1,4,11,1,3,3,1,5,5,5,4,5,5,1,1,1,2500.0
I,1,12,2,7,4,4,5,1,2,3,2,3,7,1,2,1,2,5,4,5,4,4,4,1,1,2,318.5
Q,3,12,2,7,8,4,1,1,3,1,3,4,7,1,4,2,1,5,4,4,4,1,5,1,1,2,4556.0
